"It has truly been my honor and a privilege to serve our salesforce, our employees and our shareholders,” concluded Randall White.",1
Mr. Doerr holds a Bachelor of Science in Pharmacy from Ohio Northern University.,1
"Since forward-looking statements address future events and conditions, by their very nature they involve inherent risks and uncertainties.",1
"Prior to her appointment as CEO, Ms. London served as Vice Chairman of the Company, and in her management role was responsible for a portfolio of companies independent of Centene's health plans, designing differentiated platform capabilities, and delivering industry-leading products and services to third-party customers.",1
ObsEva has retained an executive search firm to assist the Company’s Board of Directors with identifying a new Chief Financial Officer.,1
Disney routinely outspends all other global companies by billions of dollars a year on entertainment content.,0
He has been responsible for carrying out the Company’s financial strategy and has played a leading role in maintaining the Company’s fiscal strength and stability.,0
"Financial and other information about Centene is routinely posted and is accessible on Centene's investor relations website, https://investors.centene.com/.",0
The Board thanks Raul for his valuable contribution and we wish him well with his future endeavors.,1
"We have a unique opportunity to empower our members, providers, and their communities in this transformation.",1
"While much of the public narrative has centered around Iger's ""long goodbye"" — he departed as chairman in January — Chapek, 61, has actually been firmly in control of Disney for more than 18 months.",1
"The change gave Daniel, the leader of the new Media and Entertainment Distribution group, called DMED internally, one of the most important jobs in the history of media.",1
"Mr. Noteboom will be responsible ultimately for all aspects of the Company, including sales and technology development and advancement, the latter in conjunction with our technology department, headed by Mr. Mario Salerno.",1
"BOCA RATON, Florida, July 13, 2022 - PRESS RELEASE - Jushi Holdings Inc., a vertically integrated, multi-state cannabis operator, announced that Ed Kremer has resigned from his position as chief financial officer to accept a role at a competing large cannabis multi-state operator.",1
"Gang Wang, the chief operating officer of the Company, as a successor director of Quhuo following Ms. Wenting Ji's resignation, effective on July 18, 2022.",1
"Randall has served as a mentor to me, and I look forward to him continuing to serve in his new role as Executive Chairman.",1
"""It is an honor to join the Chesapeake Utilities Board in its oversight of the execution of the Company's disciplined growth strategy.",1
"Lynch, a former Barnes & Noble CEO, was brought on by Foley in 2017 to help drive growth.",1
"Kelly Campbell's decision to leave her job running Hulu to lead NBCUniversal's Peacock in October was at least partially motivated by her desire to have more control over a business than what Disney allowed her, according to a person familiar with her thinking.",1
This was Disney's second major reorganization in less than three years.,1
The Company’s guiding principles of fiscal conservatism and value creation remain unchanged.,0
Mr. Turqueto holds a bachelor’s degree in Law from PUC-SP and an MBA from Columbia School of Business in New York.,1
"Film producers knew standard facts, such as a movie's marketing budget or a film's release date.",0
"ST. LOUIS, March 22, 2022 /PRNewswire/ -- Centene Corporation (NYSE: CNC) announced today that Sarah London, Vice Chairman of Centene, has been appointed Chief Executive Officer, effective immediately, succeeding Michael Neidorff.",1
Kyncl declined to comment to CNBC about the meeting.,1
"Craig has served alongside me at EDC for over 30 years and his experience and accomplishments have prepared him for this exact opportunity,” said Randall White.",1
Iger and Chapek seemed to be ready for the pandemic challenge together.,1
"Peloton now anticipates fiscal 2022 revenue within a range of $3.7 billion to $3.8 billion, down from prior expectations of $4.4 billion to $4.8 billion.",1
"Disney has a target of 230 million to 260 million global Disney+ subscribers by the end of 2024, compared with about 130 million Disney+ subscribers today.",1
"However, Foley along with other Peloton insiders had a combined voting control of roughly 80% as of Sept. 30, which would make it practically impossible for any deal to go through without their approval.",1
"""In addition, the experiences and guidance of Zac will expedite BellRock's path to free cash flow positive.""",1
"The Board of Directors has appointed Mr. Remko Noteboom, currently one of iSIGN’s Directors, as iSIGN’s interim Chief Executive Officer.",1
"Amsterdam, 25 May 2022 – Azerion today announced the appointment of Ben Davey as chief financial officer (CFO), effective as of today.",1
"But Foley did announce that his wife, Jill Foley, is leaving her role as vice president of Peloton's apparel business.",1
"First, PG&E’s leadership needs to rebuild trust with taxpayers, ratepayers and shareholders.",1
California bears some responsibility.,1
"McCarthy, 68, currently serves on the board of delivery start-up Instacart.",1
She will be available to support the transition until 31 August 2022.,1
"Gary formerly served on the Board of Duncanville and Cedar Hill Chambers of Commerce in Texas, and currently serves as treasurer of a nonprofit organization that provides community programs and services to residents in the Dallas County area.",1
"Craig White commented, “I am extremely proud of the opportunity to continue to build on the legacy that Randall has created at EDC.",1
"According to two people familiar with the meeting, Iger urgently asked then-Disney head of strategy Kevin Mayer to return from the Consumer Electronics Show in Las Vegas so Iger could show him a new organizational structure, which he drew on a whiteboard in front of Mayer.",1
Campbell declined to comment for this story.,1
"Internal messages about business strategy from both men would sometimes conflict, as it became clear the executives weren't speaking with one voice, several people noted.",1
"The decision was instantly polarizing, leading to a burst of internal frustration among some veteran Disney employees who no longer controlled the budgets of their divisions, according to people familiar with the matter.",1
"(3) Non-GAAP diluted earnings per share excludes the impact of incremental depreciation and amortization related to the estimated fair value of acquired Acima assets, stock compensation expense associated with the Acima acquisition equity consideration subject to vesting conditions, and one-time transaction and integration costs related to the Acima acquisition.",0
“It has been a highlight of my professional career to be part of the MedAvail team and to work with dedicated colleagues to build this transformational organization.,1
"Several employees have called Iger to express their dissatisfaction with Chapek over his response to Florida's ""Don't Say Gay"" bill.",1
"“I am confident that Craig, along with all the members of our team, will continue to position EDC for growth while focusing on driving shareholder value for decades to come.",1
"He is succeeded by current director, Rob Faulkner.",1
"He moved to Southern Company Services' finance organization in 2000 as a team leader in financial planning and was later named manager and, subsequently, director of financial planning.",1
"""I'm incredibly proud to have worked with such talented teammates over the years who have helped me build Peloton into what it is today, and I'm confident that Barry is the right leader to take the company into its next phase of growth.""",1
"""Mr. Foley has proven he is not suited to lead Peloton, whether as CEO or Executive Chair, and he should not be hand-picking directors, as he appears to have done today.""",1
"She is the right person to build upon the growing momentum and market share capture we see in the business as we execute our Mission Critical transformation.""",1
"Shacklett joined MSC in 2006 as part of its acquisition of J&L Industrial Supply, where she previously spent 15 years.",1
He started his career at Price Waterhouse as a staff auditor.,1
Past management roles included positions at Trigen Energy and Westinghouse.,1
"Prior to joining Northern Data, Mr. Yoshida held senior management positions at Morgan Stanley, Deutsche Bank and the Carlyle Group, among others.",1
"Chapek centralized budget power under his right-hand man, Kareem Daniel, a move that irritated several Disney veterans – as well as Iger.",1
Kremer’s resignation took effect July 12.,1
"Since that incident, Iger and Chapek haven't been able to mend their relationship, according to about a dozen people familiar with the matter who spoke with CNBC for this story.",1
"Late last year, just weeks before his departure as executive chairman, Iger threw himself a going-away party, inviting more than 50 people at his house in Brentwood, a suburban Los Angeles neighborhood.",1
"DOVER, Del., July 25, 2022 /PRNewswire/ -- Chesapeake Utilities Corporation (NYSE: CPK) (Chesapeake Utilities) today announced that as part of the Board's ongoing succession planning, Sheree M. Petrone and Stephanie N. Gary were appointed to serve as members of the Board of Directors of Chesapeake Utilities, effective July 22.",1
"Prior to joining Humedica, Ms. London was part of the team that launched Accretive Health's Quality & Total Cost of Care business, providing end-to-end population health strategy and operational consulting to leading medical centers around the country.",1
"Like Iger, Chapek and Daniel want to speed up the pace of Disney's digital transformation.",1
"Chapek attended, but there was little interaction between the two men, according to people who attended the party.",1
Ms. London has spent her career at the forefront of innovation in healthcare.,1
"He's been close to Chapek for two decades, first working for him as an MBA intern in 2002.",1
"This month, Disney put its new Pixar movie ""Turning Red"" directly on Disney+ instead of in theaters first.",1
"He has been serving as the vice president of Quhuo since 2016, responsible for the business development of the Company's core clients and expanding the business territory of Quhuo.",1
"From its heritage as a cancer vaccine development company, Kiromic is focused on discovering, developing, and commercializing novel immuno-oncology applications through its robust product pipeline.",0
"He worked under Chapek in distribution for Walt Disney Studios in 2009, when he was part of the M&A team that bought Marvel Entertainment, before following him to consumer products in 2011.",1
